Lake,III,IIIb,IIIc,II,IIb,IIc,I,Ib,Ic,MAAT
Michaelson,0.33,0.008,0,0.41,0.061,0.007,0.154,0.024,0.006,7.5
Middle Kachope,0.409,0.003,0,0.374,0.026,0.004,0.161,0.018,0.004,5.1
Mirambi,0.027,0.003,0.002,0.316,0.109,0.005,0.382,0.144,0.012,23.7
Murabayo,0.037,0.004,0.001,0.305,0.088,0.006,0.436,0.102,0.021,23.6
Murusi,0.032,0.004,0.001,0.323,0.099,0.007,0.401,0.117,0.016,22.5
Mutindaa,0.187,0.001,0.001,0.46,0.013,0.006,0.319,0.01,0.004,6.2
Mwengenyi,0.055,0.005,0.001,0.361,0.119,0.013,0.307,0.111,0.027,21.2
Nanyuki Tarn,0.204,0.012,0.002,0.37,0.154,0.028,0.146,0.055,0.029,5
Narasha (EL NA 4)a,0.141,0.003,0,0.425,0.026,0.001,0.391,0.013,0.001,12.5
Njarayabana,0.052,0.004,0.001,0.402,0.107,0.004,0.316,0.103,0.009,22.9
Nkugute,0.036,0.003,0,0.359,0.079,0.004,0.428,0.083,0.009,21.1
Nkurubaa,0.065,0.008,0.001,0.375,0.105,0.007,0.341,0.083,0.015,20.5
Nsuranjaa,0.234,0.001,0.001,0.463,0.015,0.007,0.269,0.005,0.004,5.8
Ntambia,0.055,0.012,0,0.301,0.068,0.007,0.463,0.074,0.02,23.1
Nyabikerea,0.057,0.006,0.001,0.322,0.091,0.005,0.386,0.118,0.013,20.3
Nyamitezaa,0.091,0.013,0.001,0.296,0.193,0.011,0.267,0.112,0.015,22.3
Nyamswiga,0.057,0.005,0.001,0.371,0.1,0.007,0.342,0.098,0.018,20.7
Nyamugosani,0.054,0.005,0.001,0.361,0.123,0.006,0.316,0.116,0.017,22.5
Nyamusingere,0.046,0.007,0.002,0.312,0.138,0.008,0.347,0.129,0.012,24.5
Nyantonde,0.06,0.005,0.001,0.371,0.12,0.008,0.327,0.096,0.012,21.2
Oblong Tarn,0.297,0.007,0,0.427,0.078,0.009,0.152,0.021,0.008,5.6
Ol Bolosata,0.201,0.005,0.001,0.473,0.076,0.003,0.198,0.039,0.005,14.8
Ruhandika,0.432,0.003,0,0.4,0.012,0,0.149,0.005,0,2.4
Rutundu,0.111,0.009,0.002,0.343,0.13,0.028,0.252,0.088,0.038,12
Sacreda,0.047,0.003,0,0.32,0.008,0.001,0.611,0.009,0.002,14.9
Sakaa,0.11,0.01,0.001,0.346,0.096,0.006,0.331,0.083,0.018,20
Small Hall Tarn,0.27,0.002,0,0.45,0.032,0.005,0.22,0.017,0.004,6
Spekea,0.414,0.002,0.001,0.404,0.013,0.002,0.156,0.008,0.001,3
Square Tarn,0.206,0.002,0,0.57,0.01,0.002,0.205,0.004,0.001,6
Thompson,0.342,0.008,0,0.378,0.071,0.007,0.163,0.023,0.007,4.9
Upper Kachopea,0.369,0.002,0.001,0.42,0.017,0.004,0.178,0.009,0.001,4.9
Upper Kitandara,0.478,0.004,0.001,0.351,0.028,0.002,0.12,0.014,0.002,4.9
Upper Simba,0.196,0.004,0.001,0.504,0.052,0.008,0.216,0.015,0.003,4.5
Veggi Tarn,0.408,0.004,0,0.402,0.029,0.003,0.135,0.015,0.003,6
Victoriaa,0.066,0.004,0,0.359,0.083,0.006,0.354,0.107,0.023,23.3
Wandakara,0.062,0.006,0.003,0.353,0.118,0.006,0.361,0.083,0.009,23.1
Wankenzi,0.059,0.006,0.004,0.35,0.125,0.006,0.362,0.082,0.008,23.1
